OTUID	C1cDNA	C1DNA	C2cDNA	C2DNA	C3cDNA	C3DNA	C4cDNA	C4DNA	C5cDNA	C5DNA	C6cDNA	C6DNA	C7cDNA	C7DNA	C8cDNA	C8DNA	D1cDNA	D1DNA	D2cDNA	D2DNA	D3cDNA	D3DNA	D4cDNA	D4DNA	D5cDNA	D5DNA	D6cDNA	D6DNA	D7cDNA	D7DNA	D8cDNA	D8DNA	N1cDNA	N1DNA	N2cDNA	N2DNA	N3cDNA	N3DNA	N4cDNA	N4DNA	N5cDNA	N5DNA	N6cDNA	N6DNA	N7cDNA	N7DNA	N8cDNA	N8DNA
OTU71	97	52	91	60	97	50	256	64	93	61	107	84	99	114	276	188	337	59	348	62	432	98	349	60	358	172	316	64	402	59	372	89	127	54	113	70	118	80	118	85	98	70	243	67	150	91	137	76
OTU323	34	5	26	6	50	35	26	27	14	7	59	24	26	31	32	5	9	20	5	22	13	8	3	12	17	12	10	46	13	24	18	26	16	10	22	7	12	24	12	48	30	28	24	9	6	11	27	19
OTU564	45	4	46	0	5	0	0	0	8	0	1	5	49	0	2	1	0	6	0	9	0	8	1	0	0	4	0	0	0	19	0	0	11	0	1	29	1	7	10	5	6	13	13	2	19	2	9	0
OTU3913	9	28	2	10	21	35	23	28	3	42	16	53	6	92	31	20	15	51	13	14	23	22	23	61	30	38	6	23	16	6	17	43	3	15	8	27	0	52	4	81	27	43	18	11	17	36	2	22
OTU7957	104	50	94	39	51	6	34	11	91	26	41	7	105	23	47	26	35	15	36	42	41	26	35	15	22	29	29	15	34	35	51	9	80	13	29	8	99	9	97	14	25	9	58	21	68	7	105	12
OTU255	85	31	66	20	23	54	77	42	44	35	20	4	104	39	68	25	11	63	15	7	20	22	22	5	19	24	11	11	17	24	27	43	6	32	7	0	18	11	13	17	8	10	29	17	8	7	15	12
OTU191	39	84	40	35	98	17	72	10	25	17	105	35	49	12	60	14	7	39	8	47	18	52	16	54	43	42	9	10	51	32	18	28	18	51	26	142	13	57	13	121	121	114	67	46	20	91	28	18
OTU34	160	293	131	102	19	140	27	172	104	223	29	40	122	167	37	299	31	434	27	280	28	335	40	91	24	182	24	108	51	344	41	157	75	112	42	117	79	84	83	155	22	73	24	289	37	123	80	93
OTU10	577	137	558	255	324	64	353	54	790	492	331	31	637	12	378	335	840	236	786	747	675	235	853	104	614	70	939	18	722	147	786	45	713	114	254	449	831	43	993	157	195	97	673	142	596	73	803	77
OTU90	538	251	514	46	48	139	389	164	213	55	30	2	717	6	444	25	158	141	101	58	104	94	126	11	132	33	135	14	97	154	127	103	76	54	36	131	86	7	97	6	11	4	145	70	174	29	99	141
OTU170	103	42	71	15	13	42	72	19	22	2	3	0	85	15	33	22	111	7	127	3	135	7	122	1	131	27	158	15	95	15	126	30	11	5	0	1	12	1	8	3	4	3	67	7	1	1	12	6
OTU5	384	381	371	443	751	308	625	296	581	582	692	311	416	439	958	856	645	505	602	545	665	559	563	283	582	480	625	602	675	396	544	464	489	359	465	364	627	448	533	469	552	421	544	410	523	372	644	442
OTU49	842	1	724	100	9	0	0	0	62	17	2	1	712	0	832	0	0	619	0	1	0	14	0	0	0	1	0	0	0	283	0	0	2	6	1	21	1	6	0	8	3	1	2	11	85	0	4	0
OTU52	42	169	32	227	92	409	50	419	54	435	78	250	31	245	95	328	79	151	109	122	131	397	75	251	114	519	99	350	47	205	105	401	23	211	50	153	36	248	18	300	55	307	91	177	24	242	38	319
OTU2275	804	108	727	402	155	38	979	62	552	41	170	20	776	86	416	59	130	167	156	149	172	161	136	126	151	231	144	10	215	159	174	92	178	39	134	100	259	58	189	162	267	84	1578	144	203	19	247	15
OTU20	349	754	335	1010	0	0	0	0	0	1	0	0	307	0	376	50	24	770	21	675	28	0	21	0	23	1	12	0	27	312	28	0	268	1	0	869	301	0	165	0	0	0	0	0	428	3	217	36
OTU675	72	43	86	25	71	17	43	21	67	20	55	24	113	29	78	22	45	35	45	55	62	25	41	20	31	46	40	21	64	27	45	32	83	19	107	11	90	19	91	24	51	6	61	15	54	39	91	17
OTU1086	4	4	3	4	15	3	4	6	12	6	11	10	3	3	3	0	6	6	2	12	9	3	5	11	0	13	20	7	0	0	0	4	9	5	29	13	3	20	13	21	14	23	8	13	15	22	5	19
OTU1568	20	5	8	0	0	2	14	5	1	1	0	0	7	1	4	3	3	0	7	0	13	1	1	0	12	5	15	1	1	1	8	7	0	2	1	0	2	0	0	0	0	0	6	0	1	2	0	0
OTU639	11	7	7	2	5	9	4	6	0	2	7	4	14	11	34	26	9	12	1	4	5	0	10	7	17	23	4	4	18	9	19	4	6	4	2	0	3	6	1	6	4	16	9	0	0	7	4	15
OTU975	6	3	7	2	3	9	169	26	0	0	6	0	17	3	0	2	1	0	2	0	6	0	2	0	4	4	2	20	6	0	0	4	2	0	3	0	0	1	0	6	3	3	30	2	1	0	5	1
OTU148	318	2	300	2	107	21	71	35	11	8	116	2	293	89	8	33	37	16	18	15	38	4	21	74	20	77	42	19	22	50	42	49	28	16	9	6	48	68	37	235	212	72	902	9	21	23	34	0
OTU7652	2	4	0	0	0	3	4	2	0	0	0	8	0	4	0	14	0	0	3	4	0	3	0	0	4	0	3	3	0	0	9	1	2	6	0	2	2	0	4	0	0	3	1	0	0	1	2	0
OTU14	314	310	284	347	294	434	299	375	232	227	222	341	345	658	290	547	232	358	196	247	236	212	187	152	162	345	240	549	241	355	227	657	243	534	278	321	231	160	272	154	252	135	155	330	537	436	306	634
OTU16	285	200	275	322	454	332	312	414	138	132	301	264	359	384	325	148	90	279	97	147	117	225	68	161	62	279	87	425	100	350	83	509	192	404	341	232	210	285	218	237	504	250	199	202	577	349	218	418
