SampleID	Treatment	Type	Rep
C1cDNA	Control	RNA	1
C1DNA	Control	DNA	1
C2cDNA	Control	RNA	2
C2DNA	Control	DNA	2
C3cDNA	Control	RNA	3
C3DNA	Control	DNA	3
C4cDNA	Control	RNA	4
C4DNA	Control	DNA	4
C5cDNA	Control	RNA	5
C5DNA	Control	DNA	5
C6cDNA	Control	RNA	6
C6DNA	Control	DNA	6
C7cDNA	Control	RNA	7
C7DNA	Control	DNA	7
C8cDNA	Control	RNA	8
C8DNA	Control	DNA	8
D1cDNA	Drought	RNA	1
D1DNA	Drought	DNA	1
D2cDNA	Drought	RNA	2
D2DNA	Drought	DNA	2
D3cDNA	Drought	RNA	3
D3DNA	Drought	DNA	3
D4cDNA	Drought	RNA	4
D4DNA	Drought	DNA	4
D5cDNA	Drought	RNA	5
D5DNA	Drought	DNA	5
D6cDNA	Drought	RNA	6
D6DNA	Drought	DNA	6
D7cDNA	Drought	RNA	7
D7DNA	Drought	DNA	7
D8cDNA	Drought	RNA	8
D8DNA	Drought	DNA	8
N1cDNA	Nutrients	RNA	1
N1DNA	Nutrients	DNA	1
N2cDNA	Nutrients	RNA	2
N2DNA	Nutrients	DNA	2
N3cDNA	Nutrients	RNA	3
N3DNA	Nutrients	DNA	3
N4cDNA	Nutrients	RNA	4
N4DNA	Nutrients	DNA	4
N5cDNA	Nutrients	RNA	5
N5DNA	Nutrients	DNA	5
N6cDNA	Nutrients	RNA	6
N6DNA	Nutrients	DNA	6
N7cDNA	Nutrients	RNA	7
N7DNA	Nutrients	DNA	7
N8cDNA	Nutrients	RNA	8
N8DNA	Nutrients	DNA	8
