Treatment,Bio_Replicate,Tech_Replicate,Perc_Active,Syto_Counts_per_gram,CTC_Counts_per_gram
ABA,1,1,58.85668277,248000,146000
ABA,1,2,57.8528827,252000,146000
ABA,2,1,57.48663102,262000,151000
ABA,2,2,57.33706517,250000,143000
ABA,3,1,55.43806647,265000,147000
ABA,3,2,58.88843482,245000,144000
ABA,4,1,59.71428571,245000,146000
ABA,4,2,61.66186754,243000,150000
ABA,5,1,57.87217459,257000,149000
ABA,5,2,59.61850649,246000,147000
Control,1,1,53.42998586,283000,151000
Control,1,2,53.31207935,282000,151000
Control,2,1,51.80055402,289000,150000
Control,2,2,51.29280224,286000,147000
Control,3,1,50.43391188,300000,151000
Control,3,2,50.10431154,288000,144000
Control,4,1,52.14940099,284000,148000
Control,4,2,50.70037581,293000,148000
Control,5,1,50.25623505,293000,147000
Control,5,2,55.74229692,286000,159000
IAA,1,1,60.84612194,241000,147000
IAA,1,2,59.25324675,246000,146000
IAA,2,1,58.62338678,256000,150000
IAA,2,2,60.43824701,251000,152000
IAA,3,1,55.86783137,263000,147000
IAA,3,2,59.08548708,252000,149000
IAA,4,1,60.11466011,244000,147000
IAA,4,2,60.17227235,244000,147000
IAA,5,1,60.16460905,243000,146000
IAA,5,2,60.39119804,245000,148000
JA,1,1,58.02215839,244000,141000
JA,1,2,57.51818917,247000,142000
JA,2,1,59.60372018,247000,147000
JA,2,2,59.09458367,247000,146000
JA,3,1,55.6870229,262000,146000
JA,3,2,58.39416058,247000,144000
JA,4,1,59.04492108,247000,146000
JA,4,2,57.40592474,250000,143000
JA,5,1,58.05051302,253000,147000
JA,5,2,58.51728446,240000,141000
Post-dry,1,1,12.08935611,76100,9200
Post-dry,1,2,8.676307008,89900,7800
Post-dry,2,1,9.307359307,92400,8600
Post-dry,2,2,8.191489362,94000,7700
Post-dry,3,1,6.189213086,113000,7000
Post-dry,3,2,7.99031477,82600,6600
Post-dry,4,1,7.505773672,86600,6500
Post-dry,4,2,8.54978355,92400,7900
Post-dry,5,1,7.971014493,82800,6600
Post-dry,5,2,8.012486993,96100,7700
Post-water,1,1,49.97313272,372000,186000
Post-water,1,2,49.4770716,373000,185000
Post-water,2,1,51.8159135,361000,187000
Post-water,2,2,51.85082104,359000,186000
Post-water,3,1,56.37860082,340000,192000
Post-water,3,2,53.57142857,350000,188000
Post-water,4,1,52.69121813,353000,186000
Post-water,4,2,52.67045455,352000,185000
Post-water,5,1,53.12942509,353000,188000
Post-water,5,2,51.08580508,378000,193000
Pre-dry,1,1,54.91312163,334000,183000
Pre-dry,1,2,54.88609113,334000,183000
Pre-dry,2,1,54.44245677,335000,183000
Pre-dry,2,2,54.42438591,338000,184000
Pre-dry,3,1,55.48291233,337000,187000
Pre-dry,3,2,54.17159763,338000,183000
Pre-dry,4,1,55.49879808,333000,185000
Pre-dry,4,2,54.6315478,338000,185000
Pre-dry,5,1,53.62017804,337000,181000
SA,1,1,59.95106036,245000,147000
SA,1,2,56.96254072,246000,140000
SA,2,1,57.78145695,242000,140000
SA,2,2,57.40041929,239000,137000
SA,3,1,58.04575417,258000,150000
SA,3,2,59.25925926,238000,141000
SA,4,1,58.69297164,243000,143000
SA,4,2,58.6472256,247000,145000
SA,5,1,55.66680016,250000,139000
SA,5,2,57.72765246,239000,138000
